0,1,2,3,4,5,6,7,8,9,10
Careerist,Ivan Tsybaev,"Inspired entrepreneur who founded:
Careerist (2019)
Trucker Path (2013), America's one of the most popular mobile apps for truckers",Max Glubochansky,,Max Gusakov,,,,,
Mecho Autotech Ltd,Ayoola Akinkunmi,"I am Ayoola Akinkunmi, an automobile engineer for close to 10 years 
Studied automobile engineering 
Bsc at Federal University of Technology Akure
Nabteb certified at Government Technical college Ikotun
Federal craft certificate 
Trade Test 1,2,3",Olusegun Owoade,"I’m Olusegun Owoade, a brief about my work experience and education,

• 10+ years’ experience in Actuarial and Risk consulting across top tier consulting firms.

• Former Chief Risk Officer (CRO) at Kobo360 Inc

• Former Risk Advisory services Manager at Ernst & Young

• Former Senior Actuarial Consultant at HR Nigeria Ltd

• PGD Actuarial Science, University of Leicester, UK

• B.Tech Statistics, LAUTECH, Nigeria",,,,,,
Odiggo,Ahmed Nasser,Ahmed Omar,,,,,,,,
Beau,Mila Dayan,"Co-founder at Beau
Cannes Lions Advertising Award winner",Kyril Kulikov,Co-founder at Beau,Kirill Zakharov,"Former backend developer and team lead at fast growing russian companies and startups, product oriented and focused on delivering business results as fast as possible",,,,
Toku,Cristina Etcheberry,"* Product Manager, self-taught developer and dog lover.
* +3 years of experience working at Latam biggest Airline and Product Owner from idea to conception of Brasil Alexa's Skill.
* Pontificia Universidad Católica de Chile, BS in Business and Economics. Graduated on top ten of promotion.",Francisca Noguera,"CEO & Co - Founder of Toku. I worked for three years in the Chilean financial market in Falabella.
Outgoing, I love to talk with people and I like to sing 🎤",Enzo Tamburini,"Chilean 🇨🇱, developer and Co-Founder of Toku. Python and dog lover. Not pretty sure what i have to put here but probably I'll update it later.",,,,
Safer Management,Fredrick Burns,"I am a Mississippi native with a passion for technology. Prior to founding Safer Management, I worked as a Software Engineer for multiple companies. I have a special place in my heart for iOS development and simplistic user interface designs. When my face is not glued to the computer screen I am spending time with my twin boys who are the reason I started Safer Management initially.",,,,,,,,
Chipax,Joaquín Brenner,"Co-Founder and COO at Chipax - Helping SMEs manage their finances.

Universidad Adolfo Ibáñez of BBA, MSc in Innovation and Design",Antonio Correa,"Toni started his career as a firefighter, then moved to renewable energy and finally to technology. Before Chipax, he led a company that was going bankrupt and faced all the pain points SMBs have to deal every day in order to maintain the business healthy; that's why Chipax was born, to make their day to day finances dramatically simpler.
He is an Industrial Engineer with a MSc in Innovation and Entrepreneurship from ESADE, Barcelona",Felipe Urzúa,"Felipe is the co-founder and Chief Revenue Officer of Chipax. An entrepreneur from early age, he is really passionate about business development and strategy. Prior to Chipax, he lead the expansion of a Proptech startup across Latam. Originally from Curico, Chile. Felipe graduated from Universidad Adolfo Ibáñez of BBA with a masters on Innovation for startups.",François de Mussy,"CoFounder, CTO www.chipax.com

Helping SMEs manage their finances.

Pontificia Universidad Católica de Chile, BS in IT Engineering, 2011",,
Amenli,Shady El Tohfa,"Shady is Co-founder of Amenli, an insurtech startup in Egypt. Prior to Amenli, he was part of the founding team and CCO of Paymob since 2015 and helped the company reach tens of thousands of merchants, processing millions of transactions and with operations across 5 markets. 

He also co-founded the Business Association at AUC. He was Entrepreneur-in-Residence at Skydeck, the startup accelerator of UC Berkeley in the US. Shady holds a B.A. in Business Administration from AUC.",Adham Nauman,,,,,,,
Pide Directo,Hussein Fawzi,Co-founder/CEO @PideDirecto,Antonio Nacoud,COO & Co-founder at Pide Directo,Ronni Samir Sulaka,Founder of Pidedirecto.mx - A SaaS platform that enables local merchants to get online in 30 seconds and deliver products in less than 30 minutes.,Anders Steiner,Worked with tech for 15 years. Founder and CTO of Pide Directo.,,
Nash,Aziz Alghunaim,"Co-founder at Nash. Prior to Nash, I spent a couple of years building Tarjimly (YC W18), a mobile application to connect refugees with real, volunteer translators all over the world. Before that, I was a software engineer at Palantir working on a number of high-volume data problems. I received my Bachelors and Masters in Computer Science in 2015 from MIT.

I love mission-driven work that is coupled with great technical execution. I am in the Bay Area, and love meeting new people, so say hello :)",Mahmoud Ghulman,"Co-founder at Nash. Prior to Nash, I founded a gig-worker parking logistics company (acquired) and lead Business Development at Mozn, the leading data science company in the Middle-East. At Mozn we developed AI solutions in AML, stock-market fraud, and credit scores in finance & insurance. I received my Bachelors in Physics from MIT.

I love spending time with family at the beach, scuba-diving with Aziz, and playing tennis.",,,,,,
